,tract,COMM,med_hh_income,med_hh_income_universe,Total Population,Total Hispanic/Latine Population,Total Non-Hispanic/Latine Population,"Total Non-Hispanic/Latine Population, One Race","Total White, Non-Hispanic/Latine","Total Black, Non-Hispanic/Latine","Total American Indian/American Native, Non-Hispanic/Latine","Total Asian, Non-Hispanic/Latine"
413,06037141700,Sherman Oaks,250001.0,1242.0,3096.0,210.0,2886.0,2701.0,2386.0,69.0,2.0,226.0
989,06037262100,Bel Air,250001.0,1071.0,3195.0,171.0,3024.0,2855.0,2515.0,44.0,1.0,269.0
994,06037262400,Mandeville Canyon,250001.0,1101.0,3242.0,215.0,3027.0,2879.0,2620.0,43.0,4.0,194.0
993,06037262303,Brentwood,250001.0,1063.0,3157.0,166.0,2991.0,2844.0,2587.0,49.0,0.0,196.0
1191,06037980019,Palisades Highlands,250001.0,37.0,128.0,26.0,102.0,90.0,80.0,5.0,0.0,5.0
995,06037262501,Pacific Palisades,246750.0,1335.0,3741.0,228.0,3513.0,3332.0,3120.0,20.0,1.0,165.0
991,06037262301,Brentwood,231188.0,809.0,2778.0,339.0,2439.0,2336.0,1892.0,58.0,5.0,360.0
549,06037194300,Hollywood,228836.0,1389.0,2972.0,238.0,2734.0,2559.0,2312.0,86.0,4.0,143.0
987,06037261104,Beverly Crest,217396.0,633.0,1638.0,123.0,1515.0,1438.0,1249.0,39.0,5.0,128.0
397,06037139705,Encino,208381.0,1291.0,3643.0,203.0,3440.0,3233.0,2914.0,47.0,0.0,253.0
432,06037143901,Studio City,204653.0,1625.0,4319.0,339.0,3980.0,3734.0,3292.0,100.0,5.0,301.0
1048,06037269500,Beverlywood,204583.0,1335.0,4262.0,235.0,4027.0,3840.0,3456.0,44.0,3.0,275.0
986,06037261103,Beverly Crest,202266.0,709.0,1880.0,110.0,1770.0,1657.0,1513.0,39.0,1.0,85.0
996,06037262601,Palisades Highlands,201094.0,1290.0,3783.0,218.0,3565.0,3360.0,2946.0,27.0,0.0,365.0
992,06037262302,Brentwood,200781.0,1324.0,2870.0,182.0,2688.0,2551.0,2323.0,29.0,0.0,171.0
1019,06037265420,Westwood,200179.0,656.0,1887.0,122.0,1765.0,1664.0,1366.0,43.0,0.0,250.0
1001,06037264000,Brentwood,196250.0,1257.0,3284.0,144.0,3140.0,2936.0,2743.0,14.0,0.0,168.0
410,06037141500,Encino,195500.0,1080.0,3089.0,210.0,2879.0,2729.0,2444.0,47.0,2.0,226.0
1168,06037297001,San Pedro,195064.0,588.0,1662.0,426.0,1236.0,1163.0,1013.0,37.0,4.0,91.0
1047,06037269300,Cheviot Hills,193750.0,1490.0,4096.0,352.0,3744.0,3499.0,2947.0,55.0,2.0,469.0
548,06037194200,Hollywood,190671.0,1529.0,3596.0,292.0,3304.0,3116.0,2864.0,63.0,3.0,160.0
997,06037262604,Pacific Palisades,187500.0,2276.0,6116.0,356.0,5760.0,5419.0,4868.0,48.0,4.0,454.0
1000,06037262802,Pacific Palisades,182042.0,1307.0,3907.0,196.0,3711.0,3505.0,3254.0,25.0,7.0,187.0
988,06037261200,Beverly Crest,178750.0,1580.0,4329.0,304.0,4025.0,3770.0,3270.0,55.0,6.0,407.0
64,06037106643,Granada Hills,176429.0,1378.0,4084.0,530.0,3554.0,3399.0,2551.0,136.0,3.0,692.0
1112,06037276400,Westchester,175625.0,1432.0,4099.0,544.0,3555.0,3282.0,2640.0,105.0,5.0,500.0
1107,06037275604,Playa Vista,173569.0,4329.0,10520.0,1076.0,9444.0,8765.0,5631.0,709.0,11.0,2309.0
990,06037262200,Bel Air,173472.0,1672.0,4553.0,288.0,4265.0,3992.0,3355.0,106.0,0.0,481.0
412,06037141600,Sherman Oaks,169185.0,1780.0,4088.0,283.0,3805.0,3585.0,3211.0,50.0,0.0,304.0
411,06037141600,Encino,169185.0,1780.0,4088.0,283.0,3805.0,3585.0,3211.0,50.0,0.0,304.0
371,06037137301,Woodland Hills,166172.0,744.0,2238.0,294.0,1944.0,1832.0,1578.0,53.0,5.0,180.0
430,06037143801,Studio City,165227.0,1402.0,2926.0,297.0,2629.0,2453.0,2104.0,88.0,4.0,233.0
985,06037261102,Beverly Crest,164219.0,1487.0,4072.0,248.0,3824.0,3619.0,3244.0,87.0,1.0,258.0
377,06037137504,Woodland Hills,159464.0,677.0,1920.0,118.0,1802.0,1698.0,1531.0,51.0,0.0,105.0
396,06037139704,Encino,158750.0,954.0,2624.0,152.0,2472.0,2291.0,2035.0,52.0,8.0,185.0
999,06037262706,Pacific Palisades,158625.0,1343.0,3537.0,197.0,3340.0,3144.0,2919.0,17.0,3.0,176.0
399,06037139802,Tarzana,157656.0,1420.0,3858.0,260.0,3598.0,3449.0,3127.0,73.0,2.0,227.0
486,06037189300,Los Feliz,156827.0,1472.0,3216.0,275.0,2941.0,2761.0,2263.0,77.0,3.0,399.0
487,06037189400,Hollywood Hills,156161.0,1531.0,3575.0,336.0,3239.0,3012.0,2695.0,97.0,6.0,189.0
1097,06037274202,Marina Peninsula,155366.0,2324.0,4903.0,459.0,4444.0,4168.0,3604.0,197.0,2.0,320.0
100,06037113102,Chatsworth,154514.0,957.0,2971.0,545.0,2426.0,2322.0,1693.0,87.0,1.0,519.0
1120,06037277100,Westchester,154063.0,1078.0,3017.0,756.0,2261.0,2022.0,1440.0,108.0,1.0,439.0
1124,06037278102,Playa Del Rey,153654.0,1502.0,2958.0,362.0,2596.0,2400.0,2088.0,100.0,3.0,175.0
1182,06037670604,San Pedro,151538.0,1968.0,5356.0,589.0,4767.0,4482.0,3238.0,137.0,1.0,1067.0
383,06037139301,Woodland Hills,151406.0,1459.0,4692.0,595.0,4097.0,3848.0,3253.0,163.0,7.0,377.0
382,06037139301,Tarzana,151406.0,1459.0,4692.0,595.0,4097.0,3848.0,3253.0,163.0,7.0,377.0
91,06037111204,Porter Ranch,150732.0,1867.0,5865.0,1074.0,4791.0,4543.0,2927.0,198.0,9.0,1361.0
1196,06037980024,Encino,150313.0,73.0,226.0,28.0,198.0,192.0,145.0,22.0,0.0,23.0
74,06037108104,Porter Ranch,150125.0,575.0,1692.0,199.0,1493.0,1409.0,944.0,42.0,0.0,413.0
353,06037135102,Woodland Hills,150066.0,1252.0,3612.0,738.0,2874.0,2662.0,1993.0,154.0,4.0,461.0
352,06037135102,West Hills,150066.0,1252.0,3612.0,738.0,2874.0,2662.0,1993.0,154.0,4.0,461.0
338,06037134424,West Hills,149306.0,1020.0,2862.0,243.0,2619.0,2517.0,1890.0,74.0,0.0,540.0
387,06037139402,Tarzana,147500.0,966.0,2782.0,188.0,2594.0,2465.0,2264.0,51.0,0.0,132.0
394,06037139701,Encino,147500.0,2040.0,5438.0,453.0,4985.0,4722.0,4116.0,136.0,7.0,406.0
372,06037137302,Woodland Hills,146990.0,1578.0,4341.0,423.0,3918.0,3700.0,3092.0,104.0,4.0,463.0
740,06037214000,Melrose,146923.0,1320.0,3808.0,171.0,3637.0,3482.0,3218.0,36.0,2.0,143.0
365,06037135205,West Hills,146500.0,778.0,2342.0,177.0,2165.0,2018.0,1625.0,39.0,0.0,338.0
1045,06037269000,Cheviot Hills,146118.0,2145.0,5492.0,540.0,4952.0,4640.0,3990.0,131.0,4.0,464.0
378,06037138000,Woodland Hills,145968.0,1794.0,4575.0,424.0,4151.0,3937.0,3451.0,119.0,7.0,307.0
457,06037185102,Mt. Washington,145088.0,1436.0,2990.0,815.0,2175.0,1978.0,1506.0,88.0,2.0,354.0
398,06037139801,Tarzana,142250.0,1226.0,3523.0,193.0,3330.0,3162.0,2915.0,76.0,1.0,156.0
71,06037108101,Porter Ranch,141250.0,773.0,2324.0,262.0,2062.0,1964.0,1282.0,78.0,0.0,578.0
1086,06037273100,Venice,140987.0,1245.0,3597.0,661.0,2936.0,2717.0,2360.0,86.0,10.0,234.0
1119,06037277000,Westchester,140985.0,2144.0,5637.0,828.0,4809.0,4405.0,3382.0,226.0,13.0,744.0
1109,06037276000,Westchester,140446.0,2657.0,6674.0,1240.0,5434.0,5015.0,3539.0,356.0,15.0,1045.0
1095,06037273902,Venice,138750.0,2358.0,4278.0,470.0,3808.0,3522.0,3158.0,103.0,4.0,201.0
1104,06037275400,Del Rey,137639.0,2319.0,4625.0,728.0,3897.0,3603.0,2681.0,183.0,8.0,671.0
693,06037211000,Hancock Park,135612.0,1950.0,5268.0,443.0,4825.0,4485.0,2929.0,256.0,4.0,1261.0
75,06037108202,Porter Ranch,135603.0,2872.0,8701.0,972.0,7729.0,7292.0,2855.0,379.0,21.0,3973.0
1067,06037271400,Mar Vista,135590.0,1429.0,3482.0,414.0,3068.0,2832.0,2366.0,38.0,3.0,396.0
1092,06037273600,Venice,135204.0,1108.0,2189.0,309.0,1880.0,1756.0,1593.0,36.0,3.0,95.0
1074,06037271704,Palms,133270.0,1387.0,2878.0,402.0,2476.0,2280.0,1437.0,124.0,1.0,690.0
431,06037143802,Studio City,132052.0,1063.0,2298.0,226.0,2072.0,1936.0,1674.0,82.0,2.0,165.0
1114,06037276601,Westchester,131905.0,1646.0,4058.0,559.0,3499.0,3222.0,2411.0,211.0,14.0,552.0
553,06037195100,Silverlake,131745.0,2208.0,4974.0,667.0,4307.0,4004.0,3115.0,121.0,5.0,722.0
1038,06037267503,West Los Angeles,131250.0,1226.0,2112.0,586.0,1526.0,1426.0,948.0,46.0,6.0,408.0
59,06037106603,Granada Hills,130806.0,1191.0,2998.0,494.0,2504.0,2395.0,1708.0,91.0,5.0,570.0
73,06037108103,Porter Ranch,130585.0,1000.0,3190.0,393.0,2797.0,2689.0,1818.0,44.0,0.0,810.0
124,06037115101,Northridge,130511.0,1904.0,5112.0,1034.0,4078.0,3853.0,2902.0,162.0,7.0,735.0
336,06037134422,West Hills,130352.0,1579.0,4959.0,894.0,4065.0,3832.0,2613.0,210.0,9.0,970.0
76,06037108203,Porter Ranch,128646.0,1130.0,3577.0,339.0,3238.0,3115.0,1409.0,136.0,4.0,1538.0
1096,06037274100,Venice,128125.0,2208.0,4824.0,584.0,4240.0,3967.0,3089.0,264.0,4.0,558.0
1174,06037297300,San Pedro,128068.0,784.0,2306.0,670.0,1636.0,1472.0,1217.0,120.0,2.0,92.0
395,06037139703,Encino,127750.0,889.0,2693.0,142.0,2551.0,2396.0,2162.0,35.0,3.0,179.0
422,06037143402,Sherman Oaks,126875.0,812.0,1791.0,227.0,1564.0,1444.0,1237.0,58.0,2.0,136.0
1003,06037264103,Brentwood,126538.0,1562.0,2605.0,231.0,2374.0,2213.0,1881.0,43.0,2.0,268.0
998,06037262704,Pacific Palisades,126528.0,1535.0,3651.0,291.0,3360.0,3147.0,2850.0,43.0,7.0,207.0
555,06037195202,Silverlake,126458.0,1424.0,3194.0,439.0,2755.0,2532.0,2113.0,76.0,3.0,330.0
105,06037113232,West Hills,126424.0,1492.0,4297.0,923.0,3374.0,3160.0,2227.0,210.0,6.0,687.0
1044,06037267902,Century City,126063.0,1676.0,4002.0,337.0,3665.0,3431.0,2706.0,119.0,7.0,576.0
374,06037137402,Woodland Hills,125750.0,2013.0,5663.0,666.0,4997.0,4680.0,3913.0,283.0,7.0,431.0
77,06037108204,Porter Ranch,125536.0,629.0,1857.0,142.0,1715.0,1650.0,644.0,55.0,2.0,944.0
97,06037111401,North Hills,124946.0,681.0,2406.0,890.0,1516.0,1429.0,840.0,92.0,5.0,472.0
1163,06037296402,San Pedro,124500.0,1130.0,2971.0,1539.0,1432.0,1295.0,998.0,95.0,2.0,174.0
373,06037137401,Woodland Hills,123214.0,1484.0,4708.0,621.0,4087.0,3789.0,3169.0,180.0,15.0,378.0
429,06037143700,Hollywood Hills,122750.0,1867.0,3800.0,370.0,3430.0,3195.0,2719.0,127.0,2.0,307.0
485,06037189202,Los Feliz,122188.0,1261.0,2775.0,311.0,2464.0,2309.0,1955.0,37.0,4.0,290.0
93,06037111206,Porter Ranch,122014.0,1423.0,4716.0,1284.0,3432.0,3249.0,2225.0,114.0,10.0,873.0
654,06037207711,Downtown,121477.0,1182.0,2280.0,401.0,1879.0,1765.0,856.0,263.0,0.0,630.0
1158,06037295103,Harbor City,120769.0,2050.0,4978.0,1273.0,3705.0,3440.0,2550.0,170.0,7.0,675.0
1176,06037297501,San Pedro,120577.0,1110.0,2483.0,560.0,1923.0,1786.0,1590.0,41.0,12.0,129.0
756,06037216100,Miracle Mile,120526.0,964.0,2465.0,345.0,2120.0,1962.0,1110.0,364.0,1.0,470.0
755,06037216100,Brookside,120526.0,964.0,2465.0,345.0,2120.0,1962.0,1110.0,364.0,1.0,470.0
537,06037192002,Melrose,120475.0,1339.0,2550.0,306.0,2244.0,2106.0,1874.0,58.0,0.0,153.0
335,06037134421,West Hills,120156.0,1537.0,3851.0,433.0,3418.0,3202.0,2604.0,82.0,2.0,491.0
423,06037143500,Sherman Oaks,119816.0,2373.0,5197.0,585.0,4612.0,4256.0,3713.0,157.0,0.0,350.0
633,06037206051,Wholesale District,119453.0,909.0,2591.0,597.0,1994.0,1864.0,1197.0,270.0,27.0,335.0
480,06037188202,Los Feliz,119176.0,1263.0,2460.0,269.0,2191.0,2056.0,1615.0,77.0,1.0,343.0
289,06037128704,Sherman Oaks,118609.0,979.0,2594.0,453.0,2141.0,1996.0,1641.0,119.0,8.0,199.0
433,06037143902,Sherman Oaks,118419.0,1353.0,2979.0,273.0,2706.0,2561.0,2234.0,78.0,11.0,205.0
1041,06037267700,West Los Angeles,118333.0,1740.0,3834.0,616.0,3218.0,2973.0,1542.0,106.0,1.0,1287.0
1009,06037265201,Westwood,117798.0,863.0,2108.0,115.0,1993.0,1887.0,1545.0,29.0,0.0,281.0
421,06037143401,Sherman Oaks,116859.0,2342.0,4632.0,542.0,4090.0,3824.0,3248.0,224.0,5.0,319.0
108,06037113237,Chatsworth,116696.0,1593.0,3921.0,1042.0,2879.0,2719.0,1747.0,279.0,7.0,647.0
1004,06037264303,Brentwood,116414.0,1543.0,2733.0,247.0,2486.0,2319.0,1981.0,36.0,1.0,284.0
139,06037117301,North Hills,116333.0,1102.0,3917.0,1465.0,2452.0,2296.0,1507.0,152.0,7.0,599.0
90,06037111202,Granada Hills,115799.0,1853.0,5489.0,1780.0,3709.0,3476.0,2461.0,158.0,20.0,788.0
1046,06037269100,Beverlywood,115452.0,1875.0,4752.0,275.0,4477.0,4219.0,3891.0,70.0,6.0,177.0
435,06037181300,Eagle Rock,115174.0,1296.0,3613.0,1107.0,2506.0,2323.0,1252.0,65.0,7.0,982.0
466,06037186203,Glassell Park,115074.0,1082.0,2751.0,1007.0,1744.0,1592.0,1126.0,57.0,9.0,384.0
65,06037106645,Granada Hills,114295.0,1289.0,3501.0,630.0,2871.0,2735.0,2152.0,100.0,1.0,456.0
368,06037137104,Woodland Hills,114167.0,966.0,2725.0,254.0,2471.0,2325.0,2018.0,89.0,5.0,195.0
437,06037181500,Eagle Rock,114034.0,1405.0,3653.0,1373.0,2280.0,2106.0,1324.0,52.0,5.0,701.0
104,06037113231,West Hills,113929.0,868.0,2254.0,350.0,1904.0,1743.0,1356.0,84.0,3.0,287.0
18,06037103300,Shadow Hills,113568.0,1259.0,3953.0,860.0,3093.0,2975.0,2650.0,53.0,5.0,233.0
747,06037214600,Carthay,113512.0,1263.0,2600.0,265.0,2335.0,2191.0,1874.0,89.0,5.0,212.0
419,06037143302,Studio City,112955.0,1686.0,3367.0,434.0,2933.0,2747.0,2322.0,123.0,0.0,285.0
420,06037143302,Valley Village,112955.0,1686.0,3367.0,434.0,2933.0,2747.0,2322.0,123.0,0.0,285.0
20,06037103402,Sunland,112306.0,1379.0,4075.0,1183.0,2892.0,2726.0,2378.0,56.0,8.0,270.0
63,06037106642,Granada Hills,112273.0,1144.0,3316.0,847.0,2469.0,2324.0,1775.0,91.0,3.0,429.0
103,06037113213,Chatsworth,112222.0,1714.0,4589.0,1347.0,3242.0,3057.0,1783.0,274.0,8.0,963.0
766,06037216800,South Carthay,111929.0,1388.0,3566.0,609.0,2957.0,2756.0,2115.0,277.0,8.0,274.0
66,06037106646,Granada Hills,111758.0,963.0,3367.0,1107.0,2260.0,2161.0,1345.0,99.0,4.0,692.0
481,06037188300,Atwater Village,111489.0,1386.0,3271.0,870.0,2401.0,2243.0,1386.0,37.0,4.0,801.0
1039,06037267504,West Los Angeles,111383.0,1764.0,3482.0,1037.0,2445.0,2269.0,1475.0,67.0,7.0,704.0
1043,06037267901,Century City,111299.0,1501.0,3293.0,164.0,3129.0,3036.0,2519.0,50.0,1.0,439.0
79,06037109200,Granada Hills,111293.0,1004.0,3153.0,1310.0,1843.0,1729.0,946.0,146.0,5.0,612.0
1123,06037278001,Westchester,111274.0,1039.0,2687.0,743.0,1944.0,1764.0,1111.0,231.0,9.0,370.0
363,06037135204,West Hills,111250.0,1644.0,4791.0,850.0,3941.0,3720.0,2873.0,142.0,4.0,677.0
364,06037135204,Woodland Hills,111250.0,1644.0,4791.0,850.0,3941.0,3720.0,2873.0,142.0,4.0,677.0
1093,06037273700,Venice,111036.0,1279.0,2748.0,573.0,2175.0,2033.0,1813.0,50.0,1.0,138.0
62,06037106641,Granada Hills,111000.0,768.0,2330.0,296.0,2034.0,1955.0,1520.0,40.0,3.0,378.0
1132,06037292002,Harbor Gateway,110040.0,530.0,1688.0,740.0,948.0,868.0,362.0,67.0,5.0,398.0
19,06037103401,Sunland,109271.0,1017.0,2516.0,530.0,1986.0,1886.0,1586.0,33.0,9.0,242.0
142,06037117404,North Hills,109242.0,1392.0,4548.0,1821.0,2727.0,2589.0,1407.0,189.0,1.0,949.0
72,06037108102,Porter Ranch,109091.0,1148.0,3795.0,501.0,3294.0,3189.0,1869.0,75.0,0.0,1221.0
12,06037103101,Sunland,109000.0,930.0,2712.0,514.0,2198.0,2103.0,1879.0,26.0,6.0,183.0
1098,06037275101,Del Rey,108750.0,444.0,1186.0,277.0,909.0,821.0,533.0,59.0,5.0,205.0
99,06037113101,Chatsworth,108587.0,1150.0,3461.0,856.0,2605.0,2416.0,1690.0,125.0,4.0,587.0
493,06037189704,Hollywood Hills,108430.0,752.0,2786.0,356.0,2430.0,2265.0,1780.0,163.0,5.0,271.0
307,06037131900,Lake Balboa,108424.0,1375.0,4382.0,2059.0,2323.0,2179.0,1537.0,120.0,0.0,495.0
1011,06037265204,Westwood,108295.0,639.0,1182.0,120.0,1062.0,997.0,551.0,58.0,3.0,377.0
239,06037125102,Valley Village,108021.0,855.0,2280.0,365.0,1915.0,1759.0,1489.0,115.0,8.0,141.0
434,06037181000,Eagle Rock,107708.0,2315.0,6132.0,1641.0,4491.0,4174.0,2552.0,91.0,15.0,1465.0
748,06037214700,Carthay,107692.0,1100.0,2731.0,305.0,2426.0,2298.0,1900.0,139.0,9.0,225.0
362,06037135202,Woodland Hills,107692.0,1452.0,4399.0,784.0,3615.0,3378.0,2514.0,104.0,8.0,708.0
361,06037135202,West Hills,107692.0,1452.0,4399.0,784.0,3615.0,3378.0,2514.0,104.0,8.0,708.0
1028,06037267101,Century City,107664.0,1472.0,3142.0,253.0,2889.0,2697.0,2083.0,65.0,3.0,526.0
406,06037141305,Sherman Oaks,107629.0,1351.0,2986.0,447.0,2539.0,2358.0,1918.0,185.0,0.0,218.0
123,06037113428,Winnetka,107522.0,1107.0,3397.0,1391.0,2006.0,1892.0,1061.0,138.0,8.0,668.0
88,06037111100,Granada Hills,107386.0,950.0,3047.0,1312.0,1735.0,1651.0,1096.0,56.0,1.0,472.0
48,06037106111,Sylmar,107277.0,1349.0,4331.0,2692.0,1639.0,1556.0,1029.0,142.0,18.0,334.0
1002,06037264102,Brentwood,107228.0,1699.0,3064.0,249.0,2815.0,2625.0,2219.0,46.0,0.0,334.0
492,06037189703,Hollywood Hills,106970.0,1028.0,2259.0,326.0,1933.0,1776.0,1418.0,154.0,0.0,182.0
366,06037137000,Woodland Hills,106902.0,1783.0,4754.0,536.0,4218.0,3933.0,3395.0,131.0,2.0,370.0
1029,06037267102,Century City,106742.0,1470.0,3163.0,225.0,2938.0,2692.0,2184.0,64.0,7.0,416.0
657,06037207902,Downtown,106206.0,3377.0,7405.0,1358.0,6047.0,5669.0,2511.0,747.0,8.0,2343.0
16,06037103202,Lakeview Terrace,106125.0,697.0,2026.0,695.0,1331.0,1255.0,972.0,128.0,6.0,126.0
17,06037103202,Sunland,106125.0,697.0,2026.0,695.0,1331.0,1255.0,972.0,128.0,6.0,126.0
1031,06037267202,West Los Angeles,106016.0,1695.0,3470.0,264.0,3206.0,2943.0,2170.0,57.0,3.0,683.0
631,06037206020,Wholesale District,105972.0,281.0,5577.0,2602.0,2975.0,2934.0,899.0,1762.0,4.0,241.0
552,06037194500,Melrose,105959.0,995.0,2347.0,214.0,2133.0,2043.0,1703.0,66.0,4.0,244.0
359,06037135201,West Hills,105841.0,915.0,2592.0,393.0,2199.0,2042.0,1526.0,75.0,5.0,410.0
360,06037135201,Woodland Hills,105841.0,915.0,2592.0,393.0,2199.0,2042.0,1526.0,75.0,5.0,410.0
1018,06037265410,Westwood,105625.0,697.0,1592.0,118.0,1474.0,1377.0,1212.0,22.0,1.0,132.0
1017,06037265410,Brentwood,105625.0,697.0,1592.0,118.0,1474.0,1377.0,1212.0,22.0,1.0,132.0
769,06037217001,Beverlywood,105532.0,1020.0,2863.0,157.0,2706.0,2539.0,2315.0,48.0,4.0,127.0
770,06037217001,Crestview,105532.0,1020.0,2863.0,157.0,2706.0,2539.0,2315.0,48.0,4.0,127.0
765,06037216700,Crestview,105455.0,1552.0,3938.0,892.0,3046.0,2834.0,1535.0,871.0,15.0,354.0
107,06037113235,West Hills,105333.0,620.0,1815.0,498.0,1317.0,1217.0,1022.0,64.0,7.0,102.0
1064,06037271100,Rancho Park,104821.0,905.0,2569.0,520.0,2049.0,1886.0,1302.0,82.0,3.0,472.0
140,06037117302,Northridge,104554.0,1601.0,5414.0,1860.0,3554.0,3377.0,2200.0,249.0,3.0,876.0
329,06037134302,West Hills,104476.0,1403.0,3746.0,1000.0,2746.0,2540.0,1638.0,128.0,10.0,714.0
1025,06037265602,Westwood,104375.0,1541.0,3318.0,207.0,3111.0,2920.0,2493.0,37.0,6.0,358.0
1066,06037271300,Mar Vista,103911.0,2005.0,4779.0,930.0,3849.0,3545.0,2436.0,109.0,1.0,968.0
741,06037214100,Hancock Park,103901.0,1679.0,4111.0,263.0,3848.0,3662.0,3318.0,82.0,4.0,172.0
1008,06037265100,Westwood,103750.0,1303.0,2835.0,113.0,2722.0,2616.0,2375.0,45.0,0.0,178.0
568,06037195902,Silverlake,103438.0,1034.0,1848.0,402.0,1446.0,1334.0,1055.0,52.0,2.0,214.0
86,06037109700,Granada Hills,103153.0,1451.0,4389.0,1868.0,2521.0,2393.0,1503.0,107.0,13.0,736.0
1184,06037930400,Lakeview Terrace,102778.0,384.0,1285.0,408.0,877.0,828.0,674.0,92.0,20.0,37.0
1169,06037297002,San Pedro,102658.0,1735.0,3657.0,1387.0,2270.0,2092.0,1717.0,159.0,7.0,180.0
595,06037201302,Highland Park,102654.0,1899.0,3882.0,1070.0,2812.0,2630.0,943.0,213.0,4.0,1442.0
354,06037135111,Canoga Park,102535.0,1265.0,3118.0,800.0,2318.0,2159.0,1591.0,139.0,4.0,396.0
409,06037141400,Encino,102351.0,2035.0,4705.0,588.0,4117.0,3904.0,3318.0,154.0,1.0,390.0
89,06037111201,Granada Hills,102266.0,1061.0,3609.0,1169.0,2440.0,2308.0,1677.0,73.0,4.0,526.0
757,06037216201,Miracle Mile,102254.0,1393.0,2701.0,297.0,2404.0,2263.0,1462.0,235.0,2.0,529.0
758,06037216201,Sycamore Square,102254.0,1393.0,2701.0,297.0,2404.0,2263.0,1462.0,235.0,2.0,529.0
21,06037104103,Lakeview Terrace,102128.0,859.0,3811.0,2651.0,1160.0,1095.0,416.0,389.0,1.0,254.0
585,06037199300,Lincoln Heights,102000.0,1370.0,3545.0,2081.0,1464.0,1343.0,848.0,82.0,13.0,382.0
235,06037124700,Sherman Oaks,101719.0,2559.0,5343.0,790.0,4553.0,4335.0,3625.0,328.0,14.0,326.0
337,06037134423,West Hills,101563.0,1373.0,3338.0,565.0,2773.0,2587.0,1954.0,97.0,8.0,515.0
1140,06037293306,Harbor Pines,101500.0,810.0,2571.0,1054.0,1517.0,1411.0,955.0,112.0,2.0,324.0
405,06037141304,Sherman Oaks,101455.0,1597.0,3015.0,371.0,2644.0,2490.0,2146.0,135.0,1.0,179.0
750,06037214902,Carthay,101399.0,1583.0,2668.0,237.0,2431.0,2303.0,1853.0,95.0,4.0,337.0
557,06037195400,Silverlake,101149.0,2236.0,4244.0,879.0,3365.0,3118.0,2438.0,135.0,2.0,507.0
141,06037117303,North Hills,101146.0,1172.0,3647.0,1624.0,2023.0,1906.0,1222.0,115.0,6.0,538.0
1113,06037276500,Westchester,101071.0,714.0,4982.0,981.0,4001.0,3636.0,2591.0,358.0,4.0,626.0
1055,06037269906,Palms,100682.0,1624.0,3037.0,726.0,2311.0,2151.0,1268.0,212.0,7.0,637.0
1102,06037275312,Del Rey,100667.0,1048.0,2201.0,215.0,1986.0,1851.0,1422.0,103.0,1.0,297.0
749,06037214800,Carthay,100573.0,1494.0,2843.0,279.0,2564.0,2425.0,2080.0,129.0,5.0,173.0
547,06037194102,Hollywood Hills,100515.0,1403.0,3462.0,225.0,3237.0,3029.0,2644.0,117.0,9.0,228.0
424,06037143602,Studio City,100482.0,2298.0,4740.0,501.0,4239.0,3996.0,3366.0,203.0,4.0,369.0
1087,06037273200,Venice,100100.0,1540.0,3596.0,1133.0,2463.0,2308.0,1818.0,328.0,3.0,119.0
463,06037186100,Glassell Park,100074.0,1874.0,4678.0,1557.0,3121.0,2905.0,1613.0,58.0,13.0,1177.0
50,06037106113,Sylmar,99952.0,973.0,3939.0,3001.0,938.0,889.0,509.0,86.0,9.0,274.0
130,06037115301,Northridge,99938.0,1656.0,4236.0,1136.0,3100.0,2909.0,1764.0,222.0,2.0,880.0
414,06037143101,Toluca Lake,99875.0,1093.0,2142.0,327.0,1815.0,1696.0,1485.0,82.0,0.0,114.0
376,06037137502,Woodland Hills,99804.0,1744.0,4441.0,555.0,3886.0,3623.0,3109.0,148.0,4.0,316.0
292,06037128910,Sherman Oaks,99750.0,1938.0,4384.0,715.0,3669.0,3400.0,2670.0,250.0,5.0,429.0
1035,06037267405,West Los Angeles,99692.0,1434.0,2838.0,386.0,2452.0,2300.0,1762.0,76.0,6.0,433.0
401,06037141102,Sherman Oaks,99375.0,1434.0,3023.0,425.0,2598.0,2428.0,2057.0,158.0,5.0,187.0
1073,06037271703,Palms,99339.0,1295.0,3191.0,562.0,2629.0,2425.0,1567.0,121.0,4.0,695.0
634,06037206052,Wholesale District,99241.0,1645.0,3296.0,476.0,2820.0,2642.0,998.0,199.0,3.0,1405.0
8,06037102104,Sun Valley,98973.0,1340.0,3906.0,556.0,3350.0,3219.0,2719.0,83.0,1.0,399.0
1023,06037265524,Westwood,98906.0,1304.0,2751.0,197.0,2554.0,2375.0,1764.0,85.0,4.0,497.0
160,06037119700,Arleta,98795.0,1329.0,4893.0,2334.0,2559.0,2479.0,1365.0,39.0,4.0,1041.0
161,06037119700,Panorama City,98795.0,1329.0,4893.0,2334.0,2559.0,2479.0,1365.0,39.0,4.0,1041.0
95,06037111303,Granada Hills,98617.0,1446.0,4429.0,1504.0,2925.0,2770.0,1667.0,135.0,9.0,917.0
1084,06037272301,Mar Vista,98495.0,1393.0,3000.0,805.0,2195.0,2031.0,1475.0,131.0,4.0,385.0
1068,06037271500,Mar Vista,98452.0,1344.0,3095.0,466.0,2629.0,2430.0,1871.0,56.0,6.0,472.0
771,06037217002,Crestview,98265.0,1938.0,5084.0,632.0,4452.0,4131.0,3254.0,315.0,2.0,448.0
