,tract,COMM,med_hh_income,med_hh_income_universe,Total Population,Total Hispanic/Latine Population,Total Non-Hispanic/Latine Population,"Total Non-Hispanic/Latine Population, One Race","Total White, Non-Hispanic/Latine","Total Black, Non-Hispanic/Latine","Total American Indian/American Native, Non-Hispanic/Latine","Total Asian, Non-Hispanic/Latine"
532,06037191810,Melrose,48584.0,1190.0,3028.0,1824.0,1204.0,1121.0,748.0,165.0,7.0,177.0
263,06037127603,Lake Balboa,48446.0,932.0,2949.0,2141.0,808.0,747.0,448.0,93.0,1.0,172.0
703,06037211420,Wilshire Center,48333.0,1264.0,3479.0,1601.0,1878.0,1804.0,455.0,133.0,0.0,1197.0
1128,06037291210,Harbor Gateway,48277.0,1686.0,5162.0,3153.0,2009.0,1883.0,332.0,673.0,2.0,826.0
542,06037192520,Melrose,48110.0,1638.0,4326.0,3051.0,1275.0,1205.0,335.0,93.0,4.0,737.0
484,06037189201,Los Feliz,48103.0,1799.0,3256.0,525.0,2731.0,2607.0,2133.0,140.0,6.0,313.0
222,06037124102,North Hollywood,48088.0,1362.0,3627.0,1805.0,1822.0,1712.0,1251.0,194.0,2.0,231.0
713,06037211922,Little Bangladesh,48036.0,1256.0,3182.0,1467.0,1715.0,1629.0,316.0,241.0,12.0,1041.0
98,06037111402,Granada Hills,47967.0,2214.0,5333.0,2045.0,3288.0,3075.0,1947.0,198.0,6.0,871.0
818,06037222200,Adams-Normandie,47955.0,1264.0,3878.0,2504.0,1374.0,1248.0,301.0,719.0,3.0,203.0
965,06037241001,Century Palms/Cove,47907.0,1070.0,4525.0,3088.0,1437.0,1383.0,53.0,1285.0,3.0,12.0
213,06037123510,Van Nuys,47776.0,1672.0,4938.0,2229.0,2709.0,2588.0,2028.0,201.0,3.0,318.0
212,06037123510,Valley Glen,47776.0,1672.0,4938.0,2229.0,2709.0,2588.0,2028.0,201.0,3.0,318.0
278,06037128220,Valley Glen,47611.0,1190.0,3087.0,1299.0,1788.0,1690.0,1372.0,136.0,4.0,148.0
805,06037221304,Harvard Heights,47604.0,1167.0,3032.0,1725.0,1307.0,1230.0,162.0,493.0,5.0,556.0
216,06037123602,Valley Glen,47593.0,1290.0,3433.0,1261.0,2172.0,2081.0,1713.0,147.0,3.0,197.0
