OBJECTID,Geo_ID,Geo_Type,Geo_Name,Poor_health,Poor_health_LCL,Poor_health_UCL,Poor_health_RSE,Poor_health_EST,SHAPE_Length,SHAPE_Area
275,csa_unincorp_lake_los_angeles,Unincorporated Los Angeles County,Unincorporated - Lake Los Angeles,,,,,,187364.140746182,1265822944.89967
276,csa_unincorp_lake_manor,Unincorporated Los Angeles County,Unincorporated - Lake Manor,,,,,,28934.026117306,15266439.7126058
277,csa_unincorp_lakewood,Unincorporated Los Angeles County,Unincorporated - Lakewood,,,,,,5929.33736909703,985687.800982605
278,csa_unincorp_leona_valley,Unincorporated Los Angeles County,Unincorporated - Leona Valley,,,,,,185562.619741072,615796163.464464
279,csa_unincorp_littlerock,Unincorporated Los Angeles County,Unincorporated - Littlerock,,,,,,49434.0117011061,93685477.9463841
280,csa_unincorp_littlerock_juniper_hills,Unincorporated Los Angeles County,Unincorporated - Littlerock/Juniper Hills,,,,,,196965.29821152,981372321.236777
281,csa_unincorp_littlerock_pearblossom,Unincorporated Los Angeles County,Unincorporated - Littlerock/Pearblossom,,,,,,125688.521011764,687633163.345279
282,csa_unincorp_llano,Unincorporated Los Angeles County,Unincorporated - Llano,,,,,,236007.867255712,2582397412.99533
283,csa_unincorp_long_beach,Unincorporated Los Angeles County,Unincorporated - Long Beach,,,,,,10834.9578869183,4117995.14314565
284,csa_unincorp_lynwood,Unincorporated Los Angeles County,Unincorporated - Lynwood,,,,,,10655.1387845338,3631735.6956953
285,csa_unincorp_miracle_mile,Unincorporated Los Angeles County,Unincorporated - Miracle Mile,,,,,,760.000029003488,27999.9208069311
286,csa_unincorp_monrovia,Unincorporated Los Angeles County,Unincorporated - Monrovia,,,,,,23813.6155826891,11228348.3596397
287,csa_unincorp_newhall,Unincorporated Los Angeles County,Unincorporated - Newhall,,,,,,37297.2695467117,35923948.8954066
288,csa_unincorp_north_lancaster,Unincorporated Los Angeles County,Unincorporated - North Lancaster,,,,,,218775.146794741,1263909603.94866
289,csa_unincorp_north_whittier,Unincorporated Los Angeles County,Unincorporated - North Whittier,,,,,,35228.67956128,35900925.1494807
290,csa_unincorp_northeast_san_gabriel,Unincorporated Los Angeles County,Unincorporated - Northeast San Gabriel,12.8,10.8,14.9,8.1318595874183,small area estimate,87875.4593397757,61103908.2914697
291,csa_unincorp_padua_hills,Unincorporated Los Angeles County,Unincorporated - Padua Hills,,,,,,9409.51568340406,2075939.84647972
292,csa_unincorp_palmdale,Unincorporated Los Angeles County,Unincorporated - Palmdale,,,,,,164933.718605305,733069233.013868
293,csa_unincorp_pearblossom_llano,Unincorporated Los Angeles County,Unincorporated - Pearblossom/Llano,,,,,,116529.498865869,462365546.167629
294,csa_unincorp_pellissier_village,Unincorporated Los Angeles County,Unincorporated - Pellissier Village,,,,,,15692.3790954158,8793112.55553585
295,csa_unincorp_placerita_canyon,Unincorporated Los Angeles County,Unincorporated - Placerita Canyon,,,,,,38416.7207712096,47991908.6254634
296,csa_unincorp_pomona,Unincorporated Los Angeles County,Unincorporated - Pomona,,,,,,42540.5502645391,32847646.0850377
297,csa_unincorp_quartz_hill,Unincorporated Los Angeles County,Unincorporated - Quartz Hill,,,,,,96748.0282580221,113624294.633979
298,csa_unincorp_rancho_dominguez,Unincorporated Los Angeles County,Unincorporated - Rancho Dominguez,,,,,,41412.454709182,75301045.1061624
299,csa_unincorp_roosevelt,Unincorporated Los Angeles County,Unincorporated - Roosevelt,,,,,,176707.434379563,1548670759.6273
300,csa_unincorp_rosewood,Unincorporated Los Angeles County,Unincorporated - Rosewood,,,,,,7454.84862296414,2920804.99279565
301,csa_unincorp_rosewood_east_gardena,Unincorporated Los Angeles County,Unincorporated - Rosewood/East Gardena,,,,,,21457.9564482864,27910549.3406022
302,csa_unincorp_rosewood_west_rancho_dominguez,Unincorporated Los Angeles County,Unincorporated - Rosewood/West Rancho Dominguez,,,,,,15582.1700919015,12928298.5773157
303,csa_unincorp_rowland_heights,Unincorporated Los Angeles County,Unincorporated - Rowland Heights,16.1,13.2,18.9,9.09493138299511,small area estimate,166251.82104936,528064171.23682
304,csa_unincorp_san_francisquito_canyon_bouquet_canyon,Unincorporated Los Angeles County,Unincorporated - San Francisquito Canyon/Bouquet Canyon,,,,,,281054.291782996,1742100392.26524
305,csa_unincorp_san_jose_hills,Unincorporated Los Angeles County,Unincorporated - San Jose Hills,,,,,,45350.162170097,42055863.6405072
306,csa_unincorp_san_pasqual,Unincorporated Los Angeles County,Unincorporated - San Pasqual,,,,,,13947.6603723336,7135797.43285489
307,csa_unincorp_sand_canyon,Unincorporated Los Angeles County,Unincorporated - Sand Canyon,,,,,,14262.3223550771,7408828.99823123
308,csa_unincorp_santa_monica_mountains,Unincorporated Los Angeles County,Unincorporated - Santa Monica Mountains,,,,,,479520.449736097,-3167933071.00931
309,csa_unincorp_saugus,Unincorporated Los Angeles County,Unincorporated - Saugus,,,,,,52300.2777222158,52787357.0916996
310,csa_unincorp_saugus_canyon_country,Unincorporated Los Angeles County,Unincorporated - Saugus/Canyon Country,,,,,,68876.1725890128,135788472.911774
311,csa_unincorp_south_antelope_valley,Unincorporated Los Angeles County,Unincorporated - South Antelope Valley,,,,,,112242.958767476,313370382.148594
312,csa_unincorp_south_edwards,Unincorporated Los Angeles County,Unincorporated - South Edwards,,,,,,273111.938994576,2078932197.07609
313,csa_unincorp_south_el_monte,Unincorporated Los Angeles County,Unincorporated - South El Monte,,,,,,8765.31837898899,3632134.65314042
314,csa_unincorp_south_san_gabriel,Unincorporated Los Angeles County,Unincorporated - South San Gabriel,,,,,,58349.3569827004,39508075.6553567
315,csa_unincorp_south_whittier,Unincorporated Los Angeles County,Unincorporated - South Whittier,10.6,8.4,12.8,10.5912423453759,small area estimate,77149.3791959405,149155948.890336
316,csa_unincorp_southeast_antelope_valley,Unincorporated Los Angeles County,Unincorporated - Southeast Antelope Valley,,,,,,66116.6944812277,122088326.410448
317,csa_unincorp_stevenson_ranch,Unincorporated Los Angeles County,Unincorporated - Stevenson Ranch,4.8,3.2,6.5,17.4053542916664,small area estimate,179210.443339479,1192509035.94853
318,csa_unincorp_sun_village,Unincorporated Los Angeles County,Unincorporated - Sun Village,,,,,,86559.3395494007,310557090.935972
319,csa_unincorp_sunrise_village,Unincorporated Los Angeles County,Unincorporated - Sunrise Village,,,,,,7924.98302337671,3193782.59369586
320,csa_unincorp_twin_lakes_oat_mountain,Unincorporated Los Angeles County,Unincorporated - Twin Lakes/Oat Mountain,,,,,,136614.543621896,556636489.935456
321,csa_unincorp_universal_city,Unincorporated Los Angeles County,Unincorporated - Universal City,,,,,,19224.875457479,14217113.0795923
322,csa_unincorp_val_verde,Unincorporated Los Angeles County,Unincorporated - Val Verde,,,,,,106228.801736707,503715764.812298
323,csa_unincorp_valinda,Unincorporated Los Angeles County,Unincorporated - Valinda,13.3,11,15.5,8.75175325627766,small area estimate,53029.145140811,56559115.8568582
324,csa_unincorp_view_park_windsor_hills,Unincorporated Los Angeles County,Unincorporated - View Park/Windsor Hills,,,,,,36473.8349524222,51654041.154158
325,csa_unincorp_walnut_park,Unincorporated Los Angeles County,Unincorporated - Walnut Park,,,,,,23856.9619436468,20867318.013584
326,csa_unincorp_west_antelope_valley,Unincorporated Los Angeles County,Unincorporated - West Antelope Valley,,,,,,567543.702695535,6420997804.48047
327,csa_unincorp_west_carson,Unincorporated Los Angeles County,Unincorporated - West Carson,11.2,8.6,13.7,11.6456972085495,small area estimate,58038.5798375307,69126891.0971537
328,csa_unincorp_west_chatsworth,Unincorporated Los Angeles County,Unincorporated - West Chatsworth,,,,,,37475.8659701604,38709719.6368039
329,csa_unincorp_west_la,Unincorporated Los Angeles County,Unincorporated - West LA,,,,,,29539.9577882081,25141186.1105254
330,csa_unincorp_west_puente_valley,Unincorporated Los Angeles County,Unincorporated - West Puente Valley,,,,,,25813.861414173,22022481.2254682
331,csa_unincorp_west_rancho_dominguez,Unincorporated Los Angeles County,Unincorporated - West Rancho Dominguez,,,,,,10403.5266580526,5118699.35640695
332,csa_unincorp_west_whittier_los_nietos,Unincorporated Los Angeles County,Unincorporated - West Whittier/Los Nietos,11.4,8.9,13.8,11.0278270589092,small area estimate,73679.9444702104,72390428.1059818
333,csa_unincorp_westhills,Unincorporated Los Angeles County,Unincorporated - Westhills,,,,,,11680.0040123007,6196785.44911921
334,csa_unincorp_white_fence_farms,Unincorporated Los Angeles County,Unincorporated - White Fence Farms,,,,,,66613.112577071,160302070.165939
335,csa_unincorp_whittier,Unincorporated Los Angeles County,Unincorporated - Whittier,,,,,,89526.1430799759,133796554.49313
